X,Y
4.15393e+06,1.4121e+07
4.15401e+06,1.41211e+07
4.1541e+06,1.41213e+07
4.1542e+06,1.41215e+07
4.15431e+06,1.41217e+07
4.15443e+06,1.41219e+07
4.15456e+06,1.41221e+07
4.1547e+06,1.41224e+07
4.15485e+06,1.41226e+07
4.15501e+06,1.41229e+07
4.15517e+06,1.41231e+07
4.15534e+06,1.41234e+07
4.15552e+06,1.41237e+07
4.1557e+06,1.4124e+07
4.15589e+06,1.41243e+07
4.15608e+06,1.41246e+07
4.15628e+06,1.41249e+07
4.15648e+06,1.41252e+07
4.15668e+06,1.41256e+07
4.15688e+06,1.41259e+07
4.15709e+06,1.41263e+07
4.1573e+06,1.41266e+07
4.1575e+06,1.41269e+07
4.15771e+06,1.41273e+07
4.15791e+06,1.41276e+07
4.15812e+06,1.4128e+07
4.15832e+06,1.41284e+07
4.15852e+06,1.41287e+07
4.15871e+06,1.41291e+07
4.1589e+06,1.41294e+07
4.15909e+06,1.41298e+07
4.15927e+06,1.41302e+07
4.15945e+06,1.41305e+07
4.15962e+06,1.41309e+07
4.15978e+06,1.41312e+07
4.15994e+06,1.41316e+07
4.16008e+06,1.41319e+07
4.16022e+06,1.41323e+07
4.16035e+06,1.41326e+07
4.16047e+06,1.41329e+07
4.16058e+06,1.41333e+07
4.16068e+06,1.41336e+07
4.16077e+06,1.41339e+07
4.16084e+06,1.41342e+07
4.1609e+06,1.41345e+07
4.16095e+06,1.41348e+07
4.16099e+06,1.41351e+07
4.16101e+06,1.41353e+07
4.16101e+06,1.41356e+07
4.161e+06,1.41359e+07
4.16097e+06,1.41361e+07
4.16092e+06,1.41363e+07
4.16085e+06,1.41366e+07
4.16077e+06,1.41368e+07
4.16066e+06,1.4137e+07
4.16053e+06,1.41372e+07
4.16038e+06,1.41374e+07
4.16022e+06,1.41376e+07
4.16004e+06,1.41378e+07
4.15985e+06,1.4138e+07
4.15964e+06,1.41382e+07
4.15942e+06,1.41384e+07
4.15919e+06,1.41386e+07
4.15895e+06,1.41387e+07
4.15869e+06,1.41389e+07
4.15843e+06,1.41391e+07
4.15816e+06,1.41392e+07
4.15788e+06,1.41394e+07
4.15759e+06,1.41396e+07
4.1573e+06,1.41397e+07
4.157e+06,1.41399e+07
4.1567e+06,1.414e+07
4.15639e+06,1.41402e+07
4.15609e+06,1.41403e+07
4.15578e+06,1.41405e+07
4.15547e+06,1.41406e+07
4.15516e+06,1.41408e+07
4.15485e+06,1.41409e+07
4.15455e+06,1.41411e+07
4.15425e+06,1.41412e+07
4.15395e+06,1.41413e+07
4.15366e+06,1.41415e+07
4.15338e+06,1.41416e+07
4.1531e+06,1.41418e+07
4.15283e+06,1.41419e+07
4.15256e+06,1.41421e+07
4.15231e+06,1.41423e+07
4.15207e+06,1.41424e+07
4.15184e+06,1.41426e+07
4.15162e+06,1.41427e+07
4.15142e+06,1.41429e+07
4.15123e+06,1.41431e+07
4.15106e+06,1.41432e+07
4.1509e+06,1.41434e+07
4.15076e+06,1.41436e+07
4.15063e+06,1.41438e+07
4.15053e+06,1.4144e+07
4.15045e+06,1.41441e+07
4.15038e+06,1.41443e+07
4.15034e+06,1.41445e+07
4.15032e+06,1.41447e+07
4.15032e+06,1.4145e+07
4.15034e+06,1.41452e+07
4.15039e+06,1.41454e+07
4.15044e+06,1.41456e+07
4.15052e+06,1.41459e+07
4.15061e+06,1.41461e+07
4.15072e+06,1.41464e+07
4.15085e+06,1.41466e+07
4.15099e+06,1.41469e+07
4.15114e+06,1.41472e+07
4.1513e+06,1.41474e+07
4.15148e+06,1.41477e+07
4.15167e+06,1.4148e+07
4.15187e+06,1.41483e+07
4.15208e+06,1.41485e+07
4.1523e+06,1.41488e+07
4.15253e+06,1.41491e+07
4.15277e+06,1.41494e+07
4.15301e+06,1.41497e+07
4.15326e+06,1.415e+07
4.15352e+06,1.41503e+07
4.15378e+06,1.41505e+07
4.15405e+06,1.41508e+07
4.15432e+06,1.41511e+07
4.15459e+06,1.41514e+07
4.15486e+06,1.41517e+07
4.15514e+06,1.4152e+07
4.15542e+06,1.41522e+07
4.15569e+06,1.41525e+07
4.15597e+06,1.41528e+07
4.15624e+06,1.41531e+07
4.15651e+06,1.41533e+07
4.15678e+06,1.41536e+07
4.15705e+06,1.41538e+07
4.15731e+06,1.41541e+07
4.15756e+06,1.41543e+07
4.15781e+06,1.41546e+07
4.15806e+06,1.41548e+07
4.15829e+06,1.4155e+07
4.15852e+06,1.41553e+07
4.15874e+06,1.41555e+07
4.15895e+06,1.41557e+07
4.15915e+06,1.41559e+07
4.15933e+06,1.41561e+07
4.15951e+06,1.41562e+07
4.15967e+06,1.41564e+07
4.15982e+06,1.41566e+07
4.15996e+06,1.41567e+07
4.16008e+06,1.41569e+07
4.16019e+06,1.4157e+07
